Epoch,Loss,ACU_loss
0,271.8565699941352,86178.53268814087
1,12.039590455756203,3816.550174474716
2,4.229380212747712,1340.7135274410248
3,3.9549002436809357,1253.7033772468567
4,3.859669910244385,1223.51536154747
5,3.693842475722641,1170.9480648040771
6,3.510898457716692,1112.9548110961914
7,3.4791962686773354,1102.9052171707153
8,3.486408023804144,1105.1913435459137
9,3.277398278660579,1038.9352543354034
10,3.27567099171106,1038.387704372406
11,3.1998553825101643,1014.354156255722
12,3.10958220153953,985.737557888031
13,3.0780671259582233,975.7472789287567
14,3.0137305861391854,955.3525958061218
15,3.003603145527163,952.1421971321106
16,2.896972788245144,918.3403738737106
17,2.872499214737949,910.5822510719299
18,2.8264801178820878,895.9941973686218
19,2.802150075744003,888.281574010849
20,2.780398206003833,881.386231303215
21,2.766185329539543,876.880749464035
22,2.7189494533117635,861.9069766998291
23,2.7199126688839885,862.2123160362244
24,2.663880383930748,844.4500817060471
25,2.650394659313118,840.1751070022583
26,2.6512651368270537,840.451048374176
27,2.687533645975853,851.9481657743454
28,2.6198137780469297,830.4809676408768
29,2.6507627302163783,840.2917854785919
30,2.5753793911979024,816.3952670097351
31,2.546760388729324,807.3230432271957
32,2.6094171241254838,827.1852283477783
33,2.5327057657933763,802.8677277565002
