Epoch,"Duration in seconds, Total Time in minutes"
1,17.003960371017456,0.2833993395169576
2,12.596763849258423,0.49334540367126467
3,12.02736783027649,0.6938015341758728
4,16.102916479110718,0.9621834754943848
5,16.986018419265747,1.2452837824821472
6,15.89397382736206,1.5101833462715148
7,15.802875518798828,1.773564604918162
8,12.99413013458252,1.9901334404945374
9,14.708243608474731,2.2352708339691163
10,12.445676326751709,2.442698772748311
11,12.031309366226196,2.643220595518748
12,12.731316566467285,2.8554092049598694
13,14.174002885818481,3.0916425863901775
14,12.992819547653198,3.308189578851064
15,13.373104810714722,3.5310746590296427
16,12.375215768814087,3.737328255176544
17,13.030666589736938,3.95450603167216
18,12.798489570617676,4.167814191182455
19,12.093478202819824,4.369372161229451
20,14.5229332447052,4.611421048641205
21,13.455536127090454,4.835679984092712
22,12.456406354904175,5.043286756674449
23,12.690113306045532,5.254788645108541
24,12.370064735412598,5.460956390698751
25,12.464829683303833,5.668703552087148
26,15.351804971694946,5.924566968282064
27,14.4498872756958,6.165398422876994
28,15.157536745071411,6.4180240352948505
29,14.12600564956665,6.653457462787628
30,13.110825300216675,6.8719712177912395
31,14.165024518966675,7.108054959774018
32,12.679648637771606,7.319382437070211
33,14.323645114898682,7.558109855651855
