Epoch,Loss,ACU_loss
0,0.04171854254792588,13.224777987692505
1,0.006390833829115336,2.0258943238295615
2,0.00599606452386368,1.9007524540647864
3,0.005641376465993819,1.7883163397200406
4,0.00520744382283336,1.650759691838175
5,0.004756027383124603,1.507660680450499
6,0.004244296796831423,1.345442084595561
7,0.0036683118320437447,1.162854850757867
8,0.003143136360908767,0.9963742264080793
9,0.0025802084813276393,0.8179260885808617
10,0.002069810797586708,0.6561300228349864
11,0.0015994055892196882,0.5070115717826411
12,0.0011837448794776663,0.3752471267944202
13,0.0008378983113535736,0.2656137646990828
14,0.000553030342290366,0.175310618506046
15,0.0003482626133366291,0.11039924842771143
16,0.00020144363830919298,0.06385763334401418
17,0.00010628614841195775,0.03369270904659061
18,5.06283801944327e-05,0.016049196521635167
19,2.114207887207617e-05,0.006702039002448146
20,8.337235148209393e-06,0.0026429035419823776
21,3.6164519113655084e-06,0.0011464152559028662
22,1.5929308798559854e-06,0.0005049590889143474
23,7.263246507624242e-07,0.00023024491429168847
24,3.195878724198033e-07,0.00010130935555707765
25,1.3170551657764118e-07,4.175064875511225e-05
26,5.154890958396293e-08,1.634100433811625e-05
27,1.9456144237241738e-08,6.167597723205631e-06
28,7.450556292495747e-09,2.361826344721152e-06
29,3.075356861564431e-09,9.748881251159247e-07
30,1.4138834584368518e-09,4.4820105632448204e-07
31,7.18496349342777e-10,2.2776334274166032e-07
32,3.905453240860527e-10,1.238028677352787e-07
33,2.2122862274135187e-10,7.012947340900855e-08
34,1.2946701573151144e-10,4.1041043986889125e-08
35,7.780866055081656e-11,2.466534539460885e-08
36,4.8340454547172804e-11,1.5323924091453778e-08
37,3.0261653133409135e-11,9.592944043290696e-09
38,1.9572434908997476e-11,6.2044618661522e-09
39,1.245289475780849e-11,3.947567638225291e-09
40,7.653116405423802e-12,2.4260379005193455e-09
41,4.51350755753725e-12,1.4307818957393081e-09
42,2.4761642495318762e-12,7.849440671016047e-10
43,1.2755257181772248e-12,4.043416526621803e-10
44,6.007039668581288e-13,1.9042315749402683e-10
45,2.508770922658323e-13,7.952803824826885e-11
46,9.582918632670576e-14,3.0377852065565725e-11
