Epoch,"Duration in seconds, Total Time in minutes"
1,9.598012447357178,0.15996687412261962
2,9.890349864959717,0.3248060385386149
3,11.136754751205444,0.5104186177253723
4,11.77363657951355,0.7066458940505982
5,11.313894033432007,0.8952107946077983
6,10.271300554275513,1.0663991371790569
7,11.635906219482422,1.2603309075037639
8,11.026156663894653,1.4441001852353414
9,11.62134599685669,1.637789285182953
10,10.888094663619995,1.8192575295766196
11,9.468307256698608,1.9770626505215962
12,10.656134605407715,2.1546648939450583
13,11.44578218460083,2.345427930355072
14,12.3896324634552,2.551921804745992
15,10.793755054473877,2.7318177223205566
16,11.087063789367676,2.916602118810018
17,10.966143131256104,3.0993711709976197
18,11.256040096282959,3.286971839269002
19,11.200179815292358,3.473641502857208
20,10.54258918762207,3.6493513226509093
21,10.523778915405273,3.824747637907664
22,11.056504726409912,4.009022716681162
