Epoch,Loss,ACU_loss
0,0.16996049397542776,238.62453354150057
1,0.11440870097700369,160.62981617171317
2,0.09987717761161957,140.22755736671388
3,0.09398111417767542,131.94948430545628
4,0.08934590639148512,125.44165257364511
5,0.08831502180718989,123.99429061729461
6,0.09038459200762276,126.89996717870235
7,0.09577218853428089,134.46415270213038
8,0.08569649562765008,120.31787986122072
9,0.08385437041019592,117.73153605591506
10,0.08214494832685254,115.33150745090097
11,0.07898746083617911,110.89839501399547
12,0.07708644657462113,108.22937099076807
13,0.07706775564827725,108.20312893018126
14,0.07732195860674429,108.56002988386899
15,0.0760756418638945,106.81020117690787
16,0.07662408298778313,107.58021251484752
17,0.07633034620192591,107.16780606750399
18,0.07936918068023138,111.43432967504486
19,0.07993536429682699,112.22925147274509
20,0.07768164046653984,109.06502321502194
