Epoch,Loss,ACU_loss
0,6580.977768570091,2086169.9526367188
1,2875.274982055279,911462.1693115234
2,441.43139530506795,139933.75231170654
3,73.41291541932885,23271.894187927246
4,65.34866010503438,20715.5252532959
5,62.10641394052596,19687.73321914673
6,58.118865629852,18423.680404663086
7,56.505158349166535,17912.13519668579
8,55.62012597213408,17631.579933166504
9,56.43917470023459,17891.218379974365
10,54.95951792719988,17422.167182922363
11,54.38594871063714,17240.345741271973
12,52.27832531853805,16572.229125976562
13,51.699017702216985,16388.588611602783
14,51.18391558048477,16225.301239013672
15,50.62707064655677,16048.781394958496
16,49.58058756157427,15717.046257019043
17,48.575470488154174,15398.424144744873
18,48.36544188490426,15331.845077514648
19,47.958390786444724,15202.809879302979
20,47.15056877256568,14946.73030090332
21,46.85380661299552,14852.65669631958
22,46.74475747478497,14818.088119506836
23,46.866694525589324,14856.742164611816
24,46.59998900356353,14772.196514129639
25,45.74635065842878,14501.593158721924
26,46.31637144840854,14682.289749145508
27,46.05258676907994,14598.67000579834
28,46.51036946630629,14743.787120819092
