Total Topk Error Scores,Predicted Values,Ground Values
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.8612007564573109,0.0,0.0
0.44112128973370884,0.0,0.0
0.5082849461773561,0.0,0.0
0.702391110705588,0.0,0.0
0.5754657195977494,0.0,0.0
0.8139198900505186,0.0,0.0
0.835042843227813,0.0,0.0
1.1247097275958378,1.0,0.0
1.2247587697258475,1.0,0.0
3.1702266807532453,1.0,0.0
5.463300254148219,1.0,0.0
5.868256865289092,1.0,0.0
6.192182033732234,1.0,0.0
3.338371927921673,1.0,0.0
1.4964032250602615,1.0,0.0
1.4337636172964137,1.0,0.0
0.9106313261682679,0.0,0.0
0.8857613130861028,0.0,0.0
1.2038069554043174,1.0,0.0
1.1483693760217304,1.0,0.0
0.7948868688974355,0.0,0.0
0.9279207510256919,0.0,0.0
1.1686129227222606,1.0,0.0
1.2847217045015684,1.0,0.0
1.3715483540132731,1.0,0.0
1.625083417033411,1.0,0.0
1.6049651583454658,1.0,0.0
0.5832563269279963,0.0,0.0
0.7974508631171402,0.0,0.0
0.8940143355797421,0.0,0.0
0.8696673403292957,0.0,0.0
0.3666121762092107,0.0,0.0
0.8565995304494427,0.0,0.0
0.8582709619229854,0.0,0.0
0.6481580304685441,0.0,0.0
0.5890529051440114,0.0,0.0
0.6852378856740398,0.0,0.0
0.8787814677019842,0.0,0.0
1.0224501302736555,1.0,0.0
1.106898490156114,1.0,0.0
1.2076693471059938,1.0,0.0
1.1045605714154525,1.0,0.0
0.9192086064600047,0.0,0.0
0.7937044273584766,0.0,0.0
1.3487962064288896,1.0,0.0
1.8745012891981694,1.0,0.0
1.826822460276729,1.0,0.0
1.9334284987452968,1.0,0.0
1.6956469771879517,1.0,0.0
1.8234621416137518,1.0,0.0
1.7462540228462307,1.0,0.0
1.500654073624115,1.0,0.0
0.8531656377519528,0.0,0.0
0.7138035234263803,0.0,0.0
0.7249858830963564,0.0,0.0
0.7682023646825082,0.0,0.0
0.7782424713017118,0.0,0.0
0.9779391752013362,1.0,0.0
1.0590834075640718,1.0,0.0
1.2169463309030186,1.0,0.0
1.0584297040045767,1.0,0.0
1.048182692115657,1.0,0.0
0.956159928233639,1.0,0.0
0.9442459989052324,0.0,0.0
0.9635035434332697,1.0,0.0
0.9504786062066031,0.0,0.0
0.9613280262432214,1.0,0.0
0.9879942547851065,1.0,0.0
1.2921924131507703,1.0,0.0
2.390275297779517,1.0,0.0
3.1779613183001603,1.0,0.0
3.2575744070655177,1.0,0.0
3.4040177150002378,1.0,0.0
1.6778332894577654,1.0,0.0
2.551863672346668,1.0,0.0
3.1017813149449016,1.0,0.0
2.5098823636066605,1.0,0.0
2.6507426509459395,1.0,0.0
2.2601441256935244,1.0,0.0
0.9900033445039185,1.0,0.0
1.2954513767244928,1.0,0.0
1.785707581132399,1.0,0.0
1.452430092079136,1.0,0.0
1.492106707775205,1.0,0.0
1.499890974951122,1.0,0.0
1.1322888086901977,1.0,0.0
0.7807619882423935,0.0,0.0
1.2867958163514557,1.0,0.0
1.322232055294321,1.0,0.0
1.333111081098795,1.0,0.0
1.0975894699290885,1.0,0.0
0.6225536245525641,0.0,0.0
0.6404616165143573,0.0,0.0
0.8041858502595126,0.0,0.0
0.6417036078468528,0.0,0.0
0.8885795204221326,0.0,0.0
0.8486307163873208,0.0,0.0
0.8536068821749304,0.0,0.0
0.6627163511399902,0.0,0.0
0.6730698913802466,0.0,0.0
0.6929710203734368,0.0,0.0
0.7782154564650744,0.0,0.0
0.7992300955781949,0.0,0.0
0.8033538207159134,0.0,0.0
0.8060043018354934,0.0,0.0
0.8042585092173096,0.0,0.0
0.7930512984369636,0.0,0.0
0.76516152057253,0.0,0.0
0.729129854857592,0.0,0.0
1.268922966786508,1.0,0.0
1.913534140954134,1.0,0.0
2.0035067989730995,1.0,0.0
2.207095896541843,1.0,0.0
1.3791095596889906,1.0,0.0
0.7811627677825596,0.0,0.0
0.6575286093405237,0.0,0.0
0.6549008665050519,0.0,0.0
1.2223986798579936,1.0,0.0
1.9410790660235735,1.0,0.0
3.004065723006023,1.0,0.0
2.807756714136651,1.0,0.0
1.4821450270888192,1.0,0.0
0.8355345267726323,0.0,0.0
0.7296150716178085,0.0,0.0
0.7578774045901184,0.0,0.0
0.7749377740371228,0.0,0.0
0.770242715424111,0.0,0.0
0.7598732134778795,0.0,0.0
0.7661671415679407,0.0,0.0
0.778750059155084,0.0,0.0
0.9693327229863932,1.0,0.0
1.3064531848802847,1.0,0.0
1.5934794052969274,1.0,0.0
1.85423669899327,1.0,0.0
2.075142914443544,1.0,0.0
1.8166793339068559,1.0,0.0
1.3830090621264945,1.0,0.0
0.997374722872313,1.0,0.0
0.84611880810238,0.0,0.0
0.865682231624836,0.0,0.0
0.8725393645708572,0.0,0.0
1.0427336638921638,1.0,0.0
1.5709002479142542,1.0,0.0
2.085664218891766,1.0,0.0
2.326557146573873,1.0,0.0
2.8903549764792467,1.0,0.0
3.035621103767993,1.0,0.0
3.3888601737931383,1.0,0.0
1.8253475787632178,1.0,0.0
1.5136218823484382,1.0,0.0
0.9839905664985902,1.0,0.0
0.8911121214155764,0.0,0.0
2.580625971651689,1.0,0.0
3.306875548566613,1.0,0.0
3.314817655785707,1.0,0.0
3.360567217651457,1.0,0.0
1.981726337335139,1.0,0.0
1.8005378324918608,1.0,0.0
2.0533452212437737,1.0,0.0
1.5507874610628745,1.0,0.0
0.9912421902203312,1.0,0.0
0.8692098896911119,0.0,0.0
0.9052474975349096,0.0,0.0
0.8572636903246029,0.0,0.0
1.5266910486665397,1.0,0.0
3.3944884671219127,1.0,0.0
3.312278490939727,1.0,0.0
1.8751440811570368,1.0,0.0
1.1709462756586855,1.0,0.0
0.8678614593563707,0.0,0.0
0.43790941649985143,0.0,0.0
0.400041155764593,0.0,0.0
0.3640585673173867,0.0,0.0
0.32628419560487687,0.0,0.0
0.2873798120862902,0.0,0.0
0.24997151357837125,0.0,0.0
0.3084765553076917,0.0,0.0
0.3926956160320013,0.0,0.0
0.49935440860602176,0.0,0.0
0.636272577688358,0.0,0.0
0.708769270652168,0.0,0.0
1.1342873587346853,1.0,0.0
1.7624133438842717,1.0,0.0
1.997229313654191,1.0,0.0
2.0875766897633015,1.0,0.0
1.1334273670419612,1.0,0.0
0.8364042965175073,0.0,0.0
0.7710859801753271,0.0,0.0
0.9660851481017944,1.0,0.0
1.12968759893931,1.0,0.0
1.3102111441779136,1.0,0.0
1.5963506038767337,1.0,0.0
0.977125870259648,1.0,0.0
0.9632818227854911,1.0,0.0
1.40833164961526,1.0,0.0
1.4157672885101689,1.0,0.0
1.4201921338494576,1.0,0.0
1.3073819539589702,1.0,0.0
0.9080474944355651,0.0,0.0
0.852927231823973,0.0,0.0
0.6396785382619576,0.0,0.0
0.5851848154841243,0.0,0.0
0.869764729733163,0.0,0.0
0.8851300047271684,0.0,0.0
0.8679308233935393,0.0,0.0
0.8719560480679402,0.0,0.0
0.44112128973370884,0.0,0.0
0.5082849461773561,0.0,0.0
0.581582353380932,0.0,0.0
0.6682863380243419,0.0,0.0
0.7717936670128873,0.0,0.0
0.8748577481610099,0.0,0.0
0.5135067046992468,0.0,0.0
0.1748915538667722,0.0,0.0
0.3383774957027407,0.0,0.0
0.4605440157999442,0.0,0.0
0.32738148923246596,0.0,0.0
0.5396971573298307,0.0,0.0
0.8372999123919767,0.0,0.0
1.0695200292493263,1.0,0.0
1.355281597137308,1.0,0.0
1.5281587196942574,1.0,0.0
2.23821679999646,1.0,0.0
2.840191850493252,1.0,0.0
3.0083442997015992,1.0,0.0
5.68398248961873,1.0,0.0
3.583976002948073,1.0,0.0
3.1354382800893137,1.0,0.0
3.160764748273055,1.0,0.0
1.6013023889593205,1.0,0.0
5.090260917246406,1.0,0.0
8.722516093219056,1.0,0.0
14.48751681389204,1.0,0.0
