Epoch,"Duration in seconds, Total Time in minutes"
1,9.569119215011597,0.15948532025019327
2,9.809717655181885,0.3229806145032247
3,11.32449722290039,0.5117222348848979
4,11.29237174987793,0.6999284307161967
5,11.232616186141968,0.8871387004852295
6,11.436051845550537,1.0777395645777383
7,11.112989902496338,1.2629560629526775
8,11.41386103630066,1.4531870802243552
9,11.376790046691895,1.64280024766922
10,11.489145755767822,1.8342860102653504
11,11.719728469848633,2.029614818096161
12,11.551275968551636,2.2221360842386884
13,12.074198961257935,2.423372733592987
14,13.504693984985352,2.648450966676076
15,13.041028499603271,2.865801441669464
16,11.322854280471802,3.0545156796773276
17,11.629881620407104,3.2483470400174457
18,11.833266735076904,3.4455681522687276
19,11.42664098739624,3.6360121687253315
20,11.197643756866455,3.8226395646731057
21,11.39073896408081,4.012485214074453
22,11.552338361740112,4.205024186770121
23,12.714853763580322,4.416938416163126
24,12.33583927154541,4.62253573735555
25,11.486438989639282,4.813976387182872
26,10.654024600982666,4.9915434638659155
27,10.484344720840454,5.166282542546591
28,10.957314014434814,5.348904442787171
29,12.038743257522583,5.54955016374588
30,12.13626217842102,5.751821200052897
31,12.09505581855774,5.9534054636955265
32,10.530706405639648,6.128917237122853
33,11.123969554901123,6.314316729704539
