Epoch,"Duration in seconds, Total Time in minutes"
1,28.407667875289917,0.47346113125483197
2,30.045584678649902,0.974220875898997
3,29.094552993774414,1.459130092461904
4,29.392942428588867,1.9490124662717183
5,28.437236785888672,2.4229664127031962
6,27.842401027679443,2.887006429831187
7,28.520278453826904,3.3623444040616355
8,29.035995483398438,3.846277662118276
9,27.911224126815796,4.311464730898539
10,28.418843984603882,4.785112130641937
11,21.734016180038452,5.147345733642578
12,23.09717893600464,5.532298715909322
13,21.41970682144165,5.889293829600017
14,21.34681463241577,6.245074073473613
15,21.92233157157898,6.610446266333262
16,21.913480758666992,6.975670945644379
17,21.4117271900177,7.332533065478007
18,20.75528120994568,7.678454418977101
19,20.662189483642578,8.022824243704479
20,20.37915802001953,8.36247687737147
