Epoch,"Duration in seconds, Total Time in minutes"
1,3.6867454051971436,0.06144575675328572
2,3.6964032649993896,0.12305247783660889
3,2.9323408603668213,0.17192482550938923
4,3.1233222484588623,0.22398019631703694
5,2.834909200668335,0.27122868299484254
6,3.1096315383911133,0.3230558753013611
7,2.972381591796875,0.37259556849797565
8,3.0920732021331787,0.424130121866862
9,3.080197811126709,0.47546675205230715
10,3.167217969894409,0.5282537182172139
11,3.5354878902435303,0.5871785163879395
12,3.4145431518554688,0.644087568918864
13,3.062904119491577,0.6951359709103903
14,2.8613946437835693,0.7428258816401164
15,2.8524117469787598,0.7903660774230957
16,2.923610210418701,0.8390929142634074
17,3.0961709022521973,0.8906957626342773
18,2.913224220275879,0.9392494996388753
19,2.998133897781372,0.9892183979352315
20,2.861689567565918,1.0369132240613301
21,2.9216396808624268,1.0856072187423706
22,2.961808681488037,1.1349706967671713
23,2.8772096633911133,1.1829241911570232
24,3.1153688430786133,1.2348470052083333
25,2.837186813354492,1.282133452097575
26,3.054220199584961,1.3330371220906576
27,2.893019199371338,1.3812541087468466
28,2.8628103733062744,1.4289676149686177
29,2.8603415489196777,1.476639974117279
30,3.06359601020813,1.5276999076207478
31,2.877747058868408,1.575662358601888
32,3.0569300651550293,1.6266111930211384
33,2.8472132682800293,1.6740647474924724
34,2.9031949043273926,1.7224513292312622
35,2.875279664993286,1.7703726569811502
36,2.841313600540161,1.8177278836568196
37,2.8802719116210938,1.8657324155171713
38,2.853036880493164,1.9132830301920574
39,2.7203452587127686,1.95862211783727
40,2.8189163208007812,2.0056040565172832
41,2.7089622020721436,2.050753426551819
42,2.721245527267456,2.096107518672943
43,2.7154715061187744,2.141365377108256
44,2.7428719997406006,2.1870799104372662
45,2.815732717514038,2.2340087890625
46,2.8976802825927734,2.282303460439046
47,2.7592060565948486,2.3282902280489606
48,2.716426134109497,2.3735639969507853
49,2.7135393619537354,2.4187896529833477
50,2.6765832901000977,2.463399374485016
51,2.712202548980713,2.5086027503013613
52,2.7226901054382324,2.5539809187253315
53,2.7122020721435547,2.599184286594391
54,2.6813437938690186,2.643873349825541
55,2.6983375549316406,2.688845642407735
56,2.6786301136016846,2.73348947763443
57,2.696199893951416,2.77842614253362
58,2.7212133407592773,2.8237796982129413
59,2.7367892265319824,2.8693928519884744
