Epoch,"Duration in seconds, Total Time in minutes"
1,9.647243022918701,0.16078738371531168
2,10.510605812072754,0.33596414724985757
3,10.069200277328491,0.5037841518719991
4,9.822521924972534,0.6674928506215413
5,10.22073745727539,0.8378384749094645
6,10.089071989059448,1.005989674727122
7,9.867785930633545,1.1704527735710144
8,9.904247760772705,1.3355235695838927
9,10.883144617080688,1.5169093132019043
10,9.531456470489502,1.675766921043396
11,9.927940607070923,1.8412325978279114
12,9.874482154846191,2.0058073004086814
13,10.512526988983154,2.1810160835584003
14,10.548574686050415,2.356825661659241
15,10.490761756896973,2.5316716909408568
16,11.229576587677002,2.7188313007354736
17,10.947448015213013,2.9012887676556907
18,10.690084457397461,3.0794568419456483
19,11.325674295425415,3.2682180802027383
20,12.098469257354736,3.469859234491984
21,11.602747917175293,3.6632383664449057
22,11.533240556716919,3.8554590423901876
23,12.275241136550903,4.060046394666036
24,12.232876300811768,4.263927666346232
25,13.730016946792603,4.492761282126109
26,11.630054950714111,4.686595531304677
27,11.397156000137329,4.876548131306966
28,12.74885606765747,5.089029065767924
